--------> Aur packages <-------

react-native-debugger-bin 0.14.0-1
readline 8.2.007-1
redland 1:1.0.17-8
rhash 1.4.4-1
ripgrep 14.0.3-1
rofi 1.7.5-2
rstudio-desktop-bin 2023.12.0.369-1
rtkit 0.13-2
rubberband 3.3.0-1
run-parts 5.5-1
runc 1.1.10-1
sbc 2.0-1
scrcpy 2.3.1-1
screenfetch 3.9.1-3
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
sl 5.05-4
slang 2.3.3-2
snappy 1.1.10-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
spotify 1:1.2.26.1187-1
sqlite 3.44.2-2
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.15.p4-1
svt-av1 1.8.0-1
sysfsutils 2.1.1-1
systemd 255.2-1
systemd-libs 255.2-1
systemd-sysvcompat 255.2-1
taglib 1.13.1-1
tar 1.35-2
tcl 8.6.13-1
tdb 1.4.9-1
terminus-font 4.49.1-6
texinfo 7.1-2
thin-provisioning-tools 1.0.9-2
tiled 1.10.2-1
tk 8.6.13-2
tlp 1.6.1-1
tmux 3.3_a-7
tpm2-tss 4.0.1-1
tracker3 3.6.0-2
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-fira-code 6.2-2
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-roboto 2.138-4
ttf-scientifica 2.3-0
ttf-ubuntu-mono-nerd 3.1.1-1
tzdata 2023d-1
udiskie 2.5.1-1
udisks2 2.10.1-2
ueberzug 18.2.2-1
unibilium 2.1.1-1
unixodbc 2.3.12-1
unrar 1:6.2.12-1
unzip 6.0-20
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vid.stab 1.1.1-1
viewnior 1.8-5
vim 9.0.2167-1
vim-runtime 9.0.2167-1
visual-studio-code-bin 1.85.1-1
vlc 3.0.20-4
vmaf 3.0.0-1
volume_key 0.3.12-8
volumeicon 0.5.1-5
vsqlite++ 0.3.13-7
vulkan-headers 1:1.3.274-1
vulkan-icd-loader 1.3.274-1
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webkit2gtk 2.42.4-1
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wireless_tools 30.pre9-3
wlroots 0.17.0-1
wlroots0.15 0.15.1-5
wlroots0.15-debug 0.15.1-5
wlroots0.16 0.16.2-2
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.5-1
xdg-utils 1.2.0r25+g0f49cf5-1
xf86-input-libinput 1.4.0-1
xf86-video-vesa 2.6.0-1
xfsprogs 6.5.0-2
xkeyboard-config 2.40-1
xmlsec 1.2.39-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.10-1
